District,rural/urban,Male,Female,Total,Households,Area in Sq. Km., Household Density ,Population Density,Gender Index,County,Location 1,Province
MERU SOUTH,urban,21266,22204,43470,12102,66.02,658.46,22526.11451,1.044107966,EASTERN,,37.67297626
MAARA,urban,16023,15971,31994,8642,56.71,564.2,16253.54276,0.996754665,EASTERN,,37.62522793
IGEMBE,urban,15008,15212,30220,8160,13.25,2279.95,16344.67925,1.013592751,EASTERN,,38.05720532
TIGANIA,urban,1806,1833,3639,954,2.06,1767.36,2709.699029,1.014950166,EASTERN,,37.77333779
THARAKA,urban,4196,4339,8535,2166,87.38,97.68,4387.020142,1.034080076,EASTERN,,38.01828449
EMBU,urban,39335,40875,80210,23965,95.46,840.22,41287.05741,1.039150883,EASTERN,,37.50475286
MBEERE,urban,1328,1383,2711,966,1.65,1647.92,2187.848485,1.041415663,EASTERN,,37.66541038
KITUI,urban,58808,61557,120365,27526,443.75,271.25,61689.52507,1.046745341,EASTERN,,38.30094003
MUTOMO,urban,616,880,1496,469,1.07,1398.65,1455.700935,1.428571429,EASTERN,,38.53912323
MWINGI,urban,8485,8618,17103,5522,7.24,2362.72,9789.961326,1.01567472,EASTERN,,38.36852014
KYUSO,urban,468,477,945,350,1.34,706.54,826.2537313,1.019230769,EASTERN,,38.27042885
MACHAKOS,urban,152083,141351,293434,84314,1410.98,207.96,141458.7854,0.92943327,EASTERN,,37.16409824
MWALA,urban,2608,2748,5356,1833,3.88,1381.02,3420.164948,1.053680982,EASTERN,,37.52391049
YATTA,urban,26350,27112,53462,13307,245.25,217.99,27219.44139,1.028918406,EASTERN,,37.60220541
KANGUNDO,urban,108232,110871,219103,50822,754.73,290.31,111014.4049,1.024382807,EASTERN,,37.27203719
MAKUENI,urban,34872,34696,69568,15463,460.97,150.92,34771.64917,0.994952971,EASTERN,,37.67253055
MBOONI,urban,791,752,1543,537,1.97,783.97,1153.522843,0.950695322,EASTERN,,37.60666503
KIBWEZI,urban,11256,11597,22853,7136,90.83,251.6,11720.92381,1.030294954,EASTERN,,38.02538524
NZAUI,urban,5449,4884,10333,3539,40.23,256.88,5019.446184,0.89631125,EASTERN,,37.41612392
GARISSA,urban,60469,56484,116953,20929,687.09,170.21,56572.00739,0.934098464,NORTH EASTERN,,39.56855753
LAGDERA,urban,6552,5754,12306,1849,14.98,821.53,6191.383178,0.878205128,NORTH EASTERN,,39.89717479
FAFI,urban,787,705,1492,326,49.43,30.18,720.9215052,0.895806861,NORTH EASTERN,,40.43908059
IJARA,urban,8383,7534,15917,2479,39.2,406,7747.852041,0.898723607,NORTH EASTERN,,40.73455516
WAJIR SOUTH,urban,4594,3906,8500,1474,55.58,152.93,3988.655632,0.850239443,NORTH EASTERN,,40.34314459
WAJIR NORTH,urban,0,0,0,0,0,,,,NORTH EASTERN,,39.5873795
WAJIR EAST,urban,43684,39116,82800,12689,139.25,594.6,39429.70916,0.895430821,NORTH EASTERN,,40.36685178
WAJIR WEST,urban,3022,2533,5555,659,21.28,261,2675.011278,0.838186631,NORTH EASTERN,,39.5240015
MANDERA CENTRAL,urban,40688,33063,73751,8209,75.98,970.71,33598.50934,0.812598309,NORTH EASTERN,,40.72748791
MANDERA EAST,urban,46022,41670,87692,12580,104.98,835.31,42108.38826,0.90543653,NORTH EASTERN,,41.29294811
MANDERA WEST,urban,13179,10946,24125,2526,14.63,1648.74,11846.82023,0.830563776,NORTH EASTERN,,40.2334622
SIAYA,urban,19458,21097,40555,10234,29.39,1379.78,21759.06193,1.084232706,NYANZA,,34.3043068
BONDO,urban,22645,24411,47056,11273,95.32,493.66,24648.56819,1.07798631,NYANZA,,34.19064437
RARIEDA,urban,1453,1563,3016,855,2.93,1027.81,2058.904437,1.075705437,NYANZA,,34.33792037
KISUMU EAST,urban,194585,195579,390164,97461,274.85,1419.53,196286.968,1.005108307,NYANZA,,34.80473358
KISUMU WEST,urban,3430,3502,6932,1384,6.46,1073.58,4032.959752,1.020991254,NYANZA,,34.53285818
NYANDO,urban,54956,55668,110624,25777,320.43,345.23,55839.50704,1.012955819,NYANZA,,35.02991504
HOMA BAY,urban,28325,30968,59293,13891,102.28,579.71,31244.93586,1.093309797,NYANZA,,34.44445584
SUBA,urban,8853,9497,18350,4915,5.31,3455.09,11164.23164,1.072743703,NYANZA,,34.20665004
RACHUONYO,urban,28642,31766,60408,13465,90.51,667.41,32082.45122,1.109070596,NYANZA,,34.70386182
